approval_action,canonical_url,local_key,local_url,filename,wp_upload_month,attachment_ids,usage_types,usage_count,raw_variant_count,sample_usage_json,safety_note
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2017/06/5.jpg,wordpress-migration/2017/06/5.jpg,/media/wordpress-migration/2017/06/5.jpg,5.jpg,2017/06,,portfolio_embedded_media_url,9,9,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2017/06/6.jpg,wordpress-migration/2017/06/6.jpg,/media/wordpress-migration/2017/06/6.jpg,6.jpg,2017/06,,portfolio_embedded_media_url,9,9,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2017/06/7.jpg,wordpress-migration/2017/06/7.jpg,/media/wordpress-migration/2017/06/7.jpg,7.jpg,2017/06,7591,page_embedded_media_url|portfolio_embedded_media_url|portfolio_featured_image,19,9,"[{""type"": ""page_embedded_media_url"", ""postType"": ""page"", ""wpPostId"": 7736, ""slug"": ""cp"", ""title"": ""Company portfolio""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""page_embedded_media_url"", ""postType"": ""page"", ""wpPostId"": 7736, ""slug"": ""cp"", ""title"": ""Company portfolio""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2017/06/8.jpg,wordpress-migration/2017/06/8.jpg,/media/wordpress-migration/2017/06/8.jpg,8.jpg,2017/06,,portfolio_embedded_media_url,9,9,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2017/06/9.jpg,wordpress-migration/2017/06/9.jpg,/media/wordpress-migration/2017/06/9.jpg,9.jpg,2017/06,,portfolio_embedded_media_url,9,9,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 366, ""slug"": ""bedrooms"", ""title"": ""Bedrooms""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2021/07/big-capsule-bl.webp,wordpress-migration/2021/07/big-capsule-bl.webp,/media/wordpress-migration/2021/07/big-capsule-bl.webp,big-capsule-bl.webp,2021/07,10062,product_featured_image,12,1,"[{""type"": ""product_featured_image"", ""wcProductId"": 12527, ""sku"": ""12527"", ""productName"": ""Mini Cove 6x6 Gray"", ""position"": 0}, {""type"": ""product_featured_image"", ""wcProductId"": 12525, ""sku"": ""12525"", ""productName"": ""De Cove 6x6\tGray"", ""position"": 0}, {""type"": ""product_featured_image"", ""wcProductId"": 12523, ""sku"": ""12523"", ""productName"": ""Classic 157-225 6x6 Beige"", ""position"": 0}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2021/07/big-capsules-1.webp,wordpress-migration/2021/07/big-capsules-1.webp,/media/wordpress-migration/2021/07/big-capsules-1.webp,big-capsules-1.webp,2021/07,10054,product_gallery_image,1,1,"[{""type"": ""product_gallery_image"", ""wcProductId"": 12939, ""sku"": ""12528"", ""productName"": ""trays"", ""position"": 2}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,wordpress-migration/2021/07/classic-157-gold.jpg,/media/wordpress-migration/2021/07/classic-157-gold.jpg,classic-157-gold.jpg,2021/07,8031,product_featured_image|variation_image,5,1,"[{""type"": ""product_featured_image"", ""wcProductId"": 12745, ""sku"": ""12745"", ""productName"": ""Classic 157 gold"", ""position"": 0}, {""type"": ""variation_image"", ""wcProductId"": 12745, ""parentSku"": ""12745"", ""wcVariantId"": 12746, ""sku"": ""12745"", ""attributes"": [{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 6, ""name"": ""Select steel"", ""slug"": ""pa_steel-selected"", ""option"": ""Gold""}, {""id"": 4, ""name"": ""Select top surface"", ""slug"": ""pa_top-selected"", ""option"": ""Solid top""}]}, {""type"": ""variation_image"", ""wcProductId"": 12465, ""parentSku"": ""12465"", ""wcVariantId"": 12466, ""sku"": ""9221-1-1"", ""attributes"": [{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 6, ""name"": ""Select steel"", ""slug"": ""pa_steel-selected"", ""option"": ""Gold""}, {""id"": 4, ""name"": ""Select top surface"", ""slug"": ""pa_top-selected"", ""option"": ""Clear glass""}]}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gray-gold.jpg,wordpress-migration/2021/07/classic-157-gray-gold.jpg,/media/wordpress-migration/2021/07/classic-157-gray-gold.jpg,classic-157-gray-gold.jpg,2021/07,8033,variation_image,1,1,"[{""type"": ""variation_image"", ""wcProductId"": 1204, ""parentSku"": ""1204"", ""wcVariantId"": 9225, ""sku"": ""9225"", ""attributes"": [{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 1, ""name"": ""Select color"", ""slug"": ""pa_color"", ""option"": ""157 Classic Gray / White""}]}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-marble-gold.jpg,wordpress-migration/2021/07/classic-157-marble-gold.jpg,/media/wordpress-migration/2021/07/classic-157-marble-gold.jpg,classic-157-marble-gold.jpg,2021/07,8029,variation_image,1,1,"[{""type"": ""variation_image"", ""wcProductId"": 1204, ""parentSku"": ""1204"", ""wcVariantId"": 9229, ""sku"": ""9229"", ""attributes"": [{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 1, ""name"": ""Select color"", ""slug"": ""pa_color"", ""option"": ""157 Classic Marble / Gray""}]}]",download only; do not delete or update references during import approval step
