approval_action,wp_product_id,wp_parent_sku,wp_variant_id,wp_variant_sku,wp_attributes_json,node_variant_id,node_product_id,node_variant_sku,node_variant_name,match_method,match_status,old_wp_url,canonical_url,target_node_url,filename
set_variation_image,14226,12533,14228,12533,"[{""id"": 8, ""name"": ""Select box set"", ""slug"": ""pa_select-box-set"", ""option"": ""Full set""}]",210162,390142,12533,Full set,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_variation_image,14226,12533,14227,12533,"[{""id"": 8, ""name"": ""Select box set"", ""slug"": ""pa_select-box-set"", ""option"": ""Basic set""}]",210161,390142,12533,Basic set,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_variation_image,11998,112234,12000,112234,"[{""id"": 18, ""name"": ""Select R1 box set"", ""slug"": ""pa_select-r1-box-set"", ""option"": ""Full set (Only Box)""}]",180142,390060,112234,Full set (Only Box),wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_variation_image,11998,112234,11999,112234,"[{""id"": 18, ""name"": ""Select R1 box set"", ""slug"": ""pa_select-r1-box-set"", ""option"": ""Basic set (Only Box)""}]",180139,390060,112234,Basic set (Only Box),wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_variation_image,11948,112233,11950,112233,"[{""id"": 18, ""name"": ""Select R1 box set"", ""slug"": ""pa_select-r1-box-set"", ""option"": ""Full set (Only Box)""}]",210263,390059,112233,Full set (Only Box),wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_variation_image,11948,112233,11949,112233,"[{""id"": 18, ""name"": ""Select R1 box set"", ""slug"": ""pa_select-r1-box-set"", ""option"": ""Basic set (Only Box)""}]",210261,390059,112233,Basic set (Only Box),wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_variation_image,12678,12678,12680,12678,"[{""id"": 8, ""name"": ""Select box set"", ""slug"": ""pa_select-box-set"", ""option"": ""Full set""}]",210207,390115,12678,Full set,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-1.jpg,Roshina-3-Light-blue-1.jpg
set_variation_image,12678,12678,12679,12678,"[{""id"": 8, ""name"": ""Select box set"", ""slug"": ""pa_select-box-set"", ""option"": ""Basic set""}]",210206,390115,12678,Basic set,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-1.jpg,Roshina-3-Light-blue-1.jpg
set_variation_image,17289,17190,17290,17190,"[{""id"": 16, ""name"": ""Select mubkhar set"", ""slug"": ""pa_select-mubkhar-set"", ""option"": ""Roshina Mubkhar only""}]",210001,390205,17190,Roshina Mubkhar only,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,/media/wordpress-migration/2025/02/Mubkhar-black.jpg,Mubkhar-black.jpg
set_variation_image,17494,17494,17495,17494,"[{""id"": 16, ""name"": ""Select mubkhar set"", ""slug"": ""pa_select-mubkhar-set"", ""option"": ""Roshina Mubkhar only""}]",180010,390211,17494,Roshina Mubkhar only,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,/media/wordpress-migration/2025/02/Mubkhar-black.jpg,Mubkhar-black.jpg
