approval_action,wp_product_id,wp_sku,wp_product_name,gallery_position,node_product_id,node_product_name,node_product_status,match_status,old_wp_url,canonical_url,target_node_url,filename
set_product_main_image,14226,12533,Roshina 1 Beige event,0,390142,Roshina 1 Beige event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_product_main_image,11998,112234,Roshina 1 Beige Store,0,390060,Roshina 1 Beige Store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_product_main_image,11948,112233,Roshina 1 Beige,0,390059,Roshina 1 Beige,active,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-beige-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-beige-1.jpg,Roshina-1-beige-1.jpg
set_product_main_image,14234,12534,Roshina 2 Wooden event,0,390143,Roshina 2 Wooden event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-3.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-3.jpg,Roshina-2-darkveneer-wood-3.jpg
set_product_main_image,12851,12724,Roshina 2 Wooden store,0,390121,Roshina 2 Wooden store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-3.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-3.jpg,Roshina-2-darkveneer-wood-3.jpg
set_product_main_image,12721,12721,Roshina 2 Wooden,0,390119,Roshina 2 Wooden,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-3.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-3.jpg,Roshina-2-darkveneer-wood-3.jpg
set_product_main_image,14250,12537,Roshina 3 Light Blue event,0,390145,Roshina 3 Light Blue event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-1.jpg,Roshina-3-Light-blue-1.jpg
set_product_main_image,12686,12686,Roshina 3 Light Blue store,0,390116,Roshina 3 Light Blue store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-1.jpg,Roshina-3-Light-blue-1.jpg
set_product_main_image,12678,12678,Roshina 3 Light Blue,0,390115,Roshina 3 Light Blue,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-1.jpg,Roshina-3-Light-blue-1.jpg
set_product_main_image,18928,12774,Passage Lamp - Red,0,390239,Passage Lamp - Red,active,matched,https://coveinterior.com/wp-content/uploads/2025/05/Passage-Lamp-Red.jpeg,https://coveinterior.com/wp-content/uploads/2025/05/Passage-Lamp-Red.jpeg,/media/wordpress-migration/2025/05/Passage-Lamp-Red.jpeg,Passage-Lamp-Red.jpeg
set_product_main_image,18924,12773,Passage Refill Lamparfum - cachemire,0,390238,Passage Refill Lamparfum - cachemire,active,matched,https://coveinterior.com/wp-content/uploads/2025/05/cachemire.jpeg,https://coveinterior.com/wp-content/uploads/2025/05/cachemire.jpeg,/media/wordpress-migration/2025/05/cachemire.jpeg,cachemire.jpeg
set_product_main_image,18920,12772,Passage Mini Lighter - Silver,0,390237,Passage Mini Lighter - Silver,active,matched,https://coveinterior.com/wp-content/uploads/2025/05/mini-lighter-silver.jpeg,https://coveinterior.com/wp-content/uploads/2025/05/mini-lighter-silver.jpeg,/media/wordpress-migration/2025/05/mini-lighter-silver.jpeg,mini-lighter-silver.jpeg
set_product_main_image,17289,17190,Roshina Mubkhar Black,0,390205,Roshina Mubkhar Black,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,/media/wordpress-migration/2025/02/Mubkhar-black.jpg,Mubkhar-black.jpg
set_product_main_image,17494,17494,Mubkhar Black store,0,390211,Mubkhar Black store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-black.jpg,/media/wordpress-migration/2025/02/Mubkhar-black.jpg,Mubkhar-black.jpg
set_product_main_image,17306,17191,Roshina Mubkhar Petrol,0,390206,Roshina Mubkhar Petrol,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-petrol.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-petrol.jpg,/media/wordpress-migration/2025/02/Mubkhar-petrol.jpg,Mubkhar-petrol.jpg
set_product_main_image,17512,17512,Mubkhar Petrol store,0,390212,Mubkhar Petrol store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-petrol.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Mubkhar-petrol.jpg,/media/wordpress-migration/2025/02/Mubkhar-petrol.jpg,Mubkhar-petrol.jpg
set_product_main_image,17478,17478,Bronze Trash Bin store,0,390209,Bronze Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-Bin-Bronze.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-Bin-Bronze.jpg,/media/wordpress-migration/2025/02/Trash-Bin-Bronze.jpg,Trash-Bin-Bronze.jpg
set_product_gallery_image,17478,17478,Bronze Trash Bin store,1,390209,Bronze Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-bronze-1.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-bronze-1.jpg,/media/wordpress-migration/2025/02/Trash-bin-bronze-1.jpg,Trash-bin-bronze-1.jpg
set_product_gallery_image,17235,17187,Bronze Trash Bin,1,390202,Bronze Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-bronze-1.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-bronze-1.jpg,/media/wordpress-migration/2025/02/Trash-bin-bronze-1.jpg,Trash-bin-bronze-1.jpg
set_product_gallery_image,17478,17478,Bronze Trash Bin store,2,390209,Bronze Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,/media/wordpress-migration/2025/02/Beige-2.jpg,Beige-2.jpg
set_product_gallery_image,17470,17188,Beige Trash Bin Store,1,390208,Beige Trash Bin Store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,/media/wordpress-migration/2025/02/Beige-2.jpg,Beige-2.jpg
set_product_gallery_image,17486,17486,Black Trash Bin store,2,390210,Black Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,/media/wordpress-migration/2025/02/Beige-2.jpg,Beige-2.jpg
set_product_gallery_image,17244,17195,Beige Trash Bin,1,390203,Beige Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,/media/wordpress-migration/2025/02/Beige-2.jpg,Beige-2.jpg
set_product_gallery_image,17235,17187,Bronze Trash Bin,2,390202,Bronze Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,/media/wordpress-migration/2025/02/Beige-2.jpg,Beige-2.jpg
set_product_gallery_image,17186,17186,Black Trash Bin,2,390201,Black Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Beige-2.jpg,/media/wordpress-migration/2025/02/Beige-2.jpg,Beige-2.jpg
set_product_gallery_image,17478,17478,Bronze Trash Bin store,3,390209,Bronze Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,/media/wordpress-migration/2025/02/beige-3.jpg,beige-3.jpg
set_product_gallery_image,17470,17188,Beige Trash Bin Store,3,390208,Beige Trash Bin Store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,/media/wordpress-migration/2025/02/beige-3.jpg,beige-3.jpg
set_product_gallery_image,17486,17486,Black Trash Bin store,3,390210,Black Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,/media/wordpress-migration/2025/02/beige-3.jpg,beige-3.jpg
set_product_gallery_image,17244,17195,Beige Trash Bin,3,390203,Beige Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,/media/wordpress-migration/2025/02/beige-3.jpg,beige-3.jpg
set_product_gallery_image,17235,17187,Bronze Trash Bin,3,390202,Bronze Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,/media/wordpress-migration/2025/02/beige-3.jpg,beige-3.jpg
set_product_gallery_image,17186,17186,Black Trash Bin,3,390201,Black Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-3.jpg,/media/wordpress-migration/2025/02/beige-3.jpg,beige-3.jpg
set_product_gallery_image,17478,17478,Bronze Trash Bin store,4,390209,Bronze Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,/media/wordpress-migration/2025/02/beige-4.jpg,beige-4.jpg
set_product_gallery_image,17470,17188,Beige Trash Bin Store,4,390208,Beige Trash Bin Store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,/media/wordpress-migration/2025/02/beige-4.jpg,beige-4.jpg
set_product_gallery_image,17486,17486,Black Trash Bin store,4,390210,Black Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,/media/wordpress-migration/2025/02/beige-4.jpg,beige-4.jpg
set_product_gallery_image,17244,17195,Beige Trash Bin,4,390203,Beige Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,/media/wordpress-migration/2025/02/beige-4.jpg,beige-4.jpg
set_product_gallery_image,17235,17187,Bronze Trash Bin,4,390202,Bronze Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,/media/wordpress-migration/2025/02/beige-4.jpg,beige-4.jpg
set_product_gallery_image,17186,17186,Black Trash Bin,4,390201,Black Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,https://coveinterior.com/wp-content/uploads/2025/02/beige-4.jpg,/media/wordpress-migration/2025/02/beige-4.jpg,beige-4.jpg
set_product_main_image,17470,17188,Beige Trash Bin Store,0,390208,Beige Trash Bin Store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-Bin-Beige.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-Bin-Beige.jpg,/media/wordpress-migration/2025/02/Trash-Bin-Beige.jpg,Trash-Bin-Beige.jpg
set_product_gallery_image,17470,17188,Beige Trash Bin Store,2,390208,Beige Trash Bin Store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-beige-1.jpg,/media/wordpress-migration/2025/02/Trash-bin-beige-1.jpg,Trash-bin-beige-1.jpg
set_product_gallery_image,17244,17195,Beige Trash Bin,2,390203,Beige Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-beige-1.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-beige-1.jpg,/media/wordpress-migration/2025/02/Trash-bin-beige-1.jpg,Trash-bin-beige-1.jpg
set_product_main_image,17486,17486,Black Trash Bin store,0,390210,Black Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-Bin-black.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-Bin-black.jpg,/media/wordpress-migration/2025/02/Trash-Bin-black.jpg,Trash-Bin-black.jpg
set_product_gallery_image,17486,17486,Black Trash Bin store,1,390210,Black Trash Bin store,archived,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-black-1.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-black-1.jpg,/media/wordpress-migration/2025/02/Trash-bin-black-1.jpg,Trash-bin-black-1.jpg
set_product_gallery_image,17186,17186,Black Trash Bin,1,390201,Black Trash Bin,active,matched,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-black-1.jpg,https://coveinterior.com/wp-content/uploads/2025/02/Trash-bin-black-1.jpg,/media/wordpress-migration/2025/02/Trash-bin-black-1.jpg,Trash-bin-black-1.jpg
