url,httpUrl,ok,status,contentLength,contentType,error
"/media/wordpress-migration/2022/07/COUNTRY-62-GREEN-DETAILS.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/COUNTRY-62-GREEN-DETAILS.jpg","true","200","60083","image/jpeg",""
"/media/wordpress-migration/2022/07/COUNTRY-62-PINK-DETAILS.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/COUNTRY-62-PINK-DETAILS.jpg","true","200","65940","image/jpeg",""
"/media/wordpress-migration/2022/07/COUNTRY-62-RED-DETAILS.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/COUNTRY-62-RED-DETAILS.jpg","true","200","58388","image/jpeg",""
"/media/wordpress-migration/2022/07/COUNTRY-62-WHITE-DETAILS.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/COUNTRY-62-WHITE-DETAILS.jpg","true","200","62818","image/jpeg",""
"/media/wordpress-migration/2022/07/CURVE-2-BROWN-1.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/CURVE-2-BROWN-1.jpg","true","200","195589","image/jpeg",""
"/media/wordpress-migration/2022/07/CURVE-2-DARK-RED-1.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/CURVE-2-DARK-RED-1.jpg","true","200","195098","image/jpeg",""
"/media/wordpress-migration/2022/07/CURVE-2-LIGHT-BLUE-1.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/CURVE-2-LIGHT-BLUE-1.jpg","true","200","195603","image/jpeg",""
"/media/wordpress-migration/2022/07/CURVE-2-Navy-Blue-1.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/CURVE-2-Navy-Blue-1.jpg","true","200","187942","image/jpeg",""
"/media/wordpress-migration/2022/07/CURVE-2-ROYAL-GREEN-1.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/CURVE-2-ROYAL-GREEN-1.jpg","true","200","192127","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-BEECH.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-BEECH.jpg","true","200","138061","image/jpeg",""
