kind,id,url,key,onDisk,referenceCount,referencedAt,classification,recommendation,reason
"media_asset","19","/media/wordpress-migration/2022/07/COUNTRY-112-BEECH-WOOD.jpg","wordpress-migration/2022/07/COUNTRY-112-BEECH-WOOD.jpg","true","13","product_variants.image#180106;product_variants.image#210226;product_variants.image#210289;product_variants.image#240282;product_variants.image#240407;product_variants.image#240535;product_variants.image#270157;product_variants.image#270224;product_variants.image#300226;product_variants.image#300289;product_variants.image#330410;product_variants.image#330669;product_variants.image#330959","retain","retain_no_action","asset_available_or_referenced"
"media_asset","20","/media/wordpress-migration/2022/07/COUNTRY-112-BEIGE-1.jpg","wordpress-migration/2022/07/COUNTRY-112-BEIGE-1.jpg","true","5","product_variants.image#210290;product_variants.image#240409;product_variants.image#270223;product_variants.image#300290;product_variants.image#330674","retain","retain_no_action","asset_available_or_referenced"
"media_asset","21","/media/wordpress-migration/2022/07/COUNTRY-112-BEIGE-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-BEIGE-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","22","/media/wordpress-migration/2022/07/COUNTRY-112-BLACK-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-BLACK-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","23","/media/wordpress-migration/2022/07/COUNTRY-112-BLACK.jpg","wordpress-migration/2022/07/COUNTRY-112-BLACK.jpg","true","5","product_variants.image#210291;product_variants.image#240411;product_variants.image#270222;product_variants.image#300291;product_variants.image#330677","retain","retain_no_action","asset_available_or_referenced"
"media_asset","24","/media/wordpress-migration/2022/07/COUNTRY-112-BLUE-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-BLUE-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","25","/media/wordpress-migration/2022/07/COUNTRY-112-BLUE.jpg","wordpress-migration/2022/07/COUNTRY-112-BLUE.jpg","true","6","products.images#390052;product_variants.image#210292;product_variants.image#240413;product_variants.image#270221;product_variants.image#300292;product_variants.image#330682","retain","retain_no_action","asset_available_or_referenced"
"media_asset","26","/media/wordpress-migration/2022/07/COUNTRY-112-GREEN-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-GREEN-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","27","/media/wordpress-migration/2022/07/COUNTRY-112-GREEN.jpg","wordpress-migration/2022/07/COUNTRY-112-GREEN.jpg","true","5","product_variants.image#210293;product_variants.image#240415;product_variants.image#270220;product_variants.image#300293;product_variants.image#330688","retain","retain_no_action","asset_available_or_referenced"
"media_asset","28","/media/wordpress-migration/2022/07/COUNTRY-112-GREY-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-GREY-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","29","/media/wordpress-migration/2022/07/COUNTRY-112-GREY.jpg","wordpress-migration/2022/07/COUNTRY-112-GREY.jpg","true","5","product_variants.image#210294;product_variants.image#240417;product_variants.image#270219;product_variants.image#300294;product_variants.image#330692","retain","retain_no_action","asset_available_or_referenced"
"media_asset","30","/media/wordpress-migration/2022/07/COUNTRY-112-PINK-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-PINK-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","31","/media/wordpress-migration/2022/07/COUNTRY-112-PINK.jpg","wordpress-migration/2022/07/COUNTRY-112-PINK.jpg","true","5","product_variants.image#210295;product_variants.image#240419;product_variants.image#270218;product_variants.image#300295;product_variants.image#330697","retain","retain_no_action","asset_available_or_referenced"
"media_asset","32","/media/wordpress-migration/2022/07/COUNTRY-112-RED-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-RED-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","33","/media/wordpress-migration/2022/07/COUNTRY-112-RED.jpg","wordpress-migration/2022/07/COUNTRY-112-RED.jpg","true","5","product_variants.image#210296;product_variants.image#240421;product_variants.image#270217;product_variants.image#300296;product_variants.image#330703","retain","retain_no_action","asset_available_or_referenced"
"media_asset","34","/media/wordpress-migration/2022/07/COUNTRY-112-WHITE-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-112-WHITE-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","35","/media/wordpress-migration/2022/07/COUNTRY-112-WHITE.jpg","wordpress-migration/2022/07/COUNTRY-112-WHITE.jpg","true","6","products.images#390079;product_variants.image#210297;product_variants.image#240423;product_variants.image#270216;product_variants.image#300297;product_variants.image#330710","retain","retain_no_action","asset_available_or_referenced"
"media_asset","36","/media/wordpress-migration/2022/07/COUNTRY-167-BEECH-2.jpg","wordpress-migration/2022/07/COUNTRY-167-BEECH-2.jpg","true","17","products.images#390056;products.images#390078;products.images#390193;product_variants.image#180108;product_variants.image#210227;product_variants.image#210269;product_variants.image#240285;product_variants.image#240368;product_variants.image#240536;product_variants.image#270158;product_variants.image#270204;product_variants.image#300227;product_variants.image#300269;product_variants.image#330416;product_variants.image#330565;product_variants.image#330966;product_variants.image#331202","retain","retain_no_action","asset_available_or_referenced"
"media_asset","37","/media/wordpress-migration/2022/07/COUNTRY-167-BEIGE-DETAILS-2.jpg","wordpress-migration/2022/07/COUNTRY-167-BEIGE-DETAILS-2.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","38","/media/wordpress-migration/2022/07/COUNTRY-167-BEIGE-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-167-BEIGE-DETAILS.jpg","true","1","categories.image#360117","retain","retain_no_action","asset_available_or_referenced"
"media_asset","39","/media/wordpress-migration/2022/07/COUNTRY-167-BEIGE.jpg","wordpress-migration/2022/07/COUNTRY-167-BEIGE.jpg","true","6","product_variants.image#210270;product_variants.image#240370;product_variants.image#270203;product_variants.image#300270;product_variants.image#330572;product_variants.image#331210","retain","retain_no_action","asset_available_or_referenced"
"media_asset","40","/media/wordpress-migration/2022/07/COUNTRY-167-BLACK-1.jpg","wordpress-migration/2022/07/COUNTRY-167-BLACK-1.jpg","true","6","product_variants.image#210271;product_variants.image#240372;product_variants.image#270202;product_variants.image#300271;product_variants.image#330578;product_variants.image#331218","retain","retain_no_action","asset_available_or_referenced"
"media_asset","41","/media/wordpress-migration/2022/07/COUNTRY-167-BLUE-DETAILS-2.jpg","wordpress-migration/2022/07/COUNTRY-167-BLUE-DETAILS-2.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","42","/media/wordpress-migration/2022/07/COUNTRY-167-BLUE-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-167-BLUE-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","43","/media/wordpress-migration/2022/07/COUNTRY-167-BLUE.jpg","wordpress-migration/2022/07/COUNTRY-167-BLUE.jpg","true","24","product_variants.image#210110;product_variants.image#210111;product_variants.image#210272;product_variants.image#240110;product_variants.image#240111;product_variants.image#240374;product_variants.image#240390;product_variants.image#240392;product_variants.image#270201;product_variants.image#300110;product_variants.image#300111;product_variants.image#300272;product_variants.image#330110;product_variants.image#330111;product_variants.image#330409;product_variants.image#330413;product_variants.image#330582;product_variants.image#330727;product_variants.image#330729;product_variants.image#330810","retain","retain_no_action","asset_available_or_referenced"
"media_asset","44","/media/wordpress-migration/2022/07/COUNTRY-167-GRAY-DETAILS-2.jpg","wordpress-migration/2022/07/COUNTRY-167-GRAY-DETAILS-2.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","45","/media/wordpress-migration/2022/07/COUNTRY-167-GRAY-DETAILS.jpg","wordpress-migration/2022/07/COUNTRY-167-GRAY-DETAILS.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
"media_asset","46","/media/wordpress-migration/2022/07/COUNTRY-167-GRAY.jpg","wordpress-migration/2022/07/COUNTRY-167-GRAY.jpg","true","6","product_variants.image#210274;product_variants.image#240378;product_variants.image#270199;product_variants.image#300274;product_variants.image#330592;product_variants.image#331241","retain","retain_no_action","asset_available_or_referenced"
"media_asset","47","/media/wordpress-migration/2022/07/COUNTRY-167-GREEN-DETAILS-2.jpg","wordpress-migration/2022/07/COUNTRY-167-GREEN-DETAILS-2.jpg","false","0","","blocked_cleanup_risk","do_not_delete_record_until_missing_file_investigated","media_library_record_points_to_missing_filesystem_file"
