candidateId,kind,mediaAssetId,url,filesystemPath,onDisk,fileSizeBytes,sourceUrl,mimeType,sha256,originalFilename,createdAt,updatedAt,classification,recommendation,reason,approvalRequired,usageCountTotal,usageCountCommerceActive,usageCountCmsActive,usageCountHistoricalOrder,referencedAt
"media_asset:331","media_asset","331","/media/wordpress-migration/2017/06/5.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2017/06/5.jpg","true","470462","https://coveinterior.com/wp-content/uploads/2017/06/5.jpg","image/jpeg","041903561baacc956ae3fda58147c7a43c4aaca0142424d138d5426add9c2f9b","5.jpg","Mon Jun 01 2026 21:01:18 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:18 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:332","media_asset","332","/media/wordpress-migration/2017/06/6.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2017/06/6.jpg","true","1929229","https://coveinterior.com/wp-content/uploads/2017/06/6.jpg","image/jpeg","db66bc376aa2122295dec44ef310d1bf9e8ec377c989e72695b61c222d90d8e2","6.jpg","Mon Jun 01 2026 21:01:18 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:18 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:334","media_asset","334","/media/wordpress-migration/2017/06/8.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2017/06/8.jpg","true","1339870","https://coveinterior.com/wp-content/uploads/2017/06/8.jpg","image/jpeg","d4cd78ff196548597e0fb0b20fb1e7bdbb5e65ddd8e3ec1814beb05886590871","8.jpg","Mon Jun 01 2026 21:01:19 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:19 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:335","media_asset","335","/media/wordpress-migration/2017/06/9.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2017/06/9.jpg","true","1339594","https://coveinterior.com/wp-content/uploads/2017/06/9.jpg","image/jpeg","1ed1eb5c2811627b915a73ba42157a698f1e7dce8aae2f1e4fe068db538047ad","9.jpg","Mon Jun 01 2026 21:01:19 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:19 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:336","media_asset","336","/media/wordpress-migration/2022/06/arch-plan-8.png","/home/manus/cove-storefront/public/media/wordpress-migration/2022/06/arch-plan-8.png","true","5509","https://coveinterior.com/wp-content/uploads/2022/06/arch-plan-8.png","image/png","b68d3359c72bbbad68aec74eb8bb63f5c67e568d424ea534b100fc09f79256cb","arch-plan-8.png","Mon Jun 01 2026 21:01:22 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:22 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:337","media_asset","337","/media/wordpress-migration/2022/06/instagram.png","/home/manus/cove-storefront/public/media/wordpress-migration/2022/06/instagram.png","true","788","https://coveinterior.com/wp-content/uploads/2022/06/instagram.png","image/png","fdd6c0b3b6f45b40599dfe7ac1bec3da236c6dad3f5cfd9f562b37c0c74567f6","instagram.png","Mon Jun 01 2026 21:01:22 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:22 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:338","media_asset","338","/media/wordpress-migration/2022/07/1-1.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/1-1.jpg","true","2382628","https://coveinterior.com/wp-content/uploads/2022/07/1-1.jpg","image/jpeg","79cdcd49090a52315c1bb3f13cbd2f520b83f1e3c0999009827823d0d8f2f82d","1-1.jpg","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:339","media_asset","339","/media/wordpress-migration/2022/07/1-2.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/1-2.jpg","true","388572","https://coveinterior.com/wp-content/uploads/2022/07/1-2.jpg","image/jpeg","229617459dff323c94ac2ed7b20440ffa24f1ce567d1f82c8ea8eb5ee15f3f37","1-2.jpg","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:340","media_asset","340","/media/wordpress-migration/2022/07/1-3.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/1-3.jpg","true","1458532","https://coveinterior.com/wp-content/uploads/2022/07/1-3.jpg","image/jpeg","e63713fb8e43a08cca7a4236594c2c1c1ae8e35c3314842ddbf76e6b918bb129","1-3.jpg","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:341","media_asset","341","/media/wordpress-migration/2022/07/1-6.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/1-6.jpg","true","192704","https://coveinterior.com/wp-content/uploads/2022/07/1-6.jpg","image/jpeg","1ba0062212baa50b7656c8f30af9141260ef629ddbd3b282d354ed1944f6dca3","1-6.jpg","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:01:23 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
